source,target,target_in_inventory
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/services/residencies/nomad/,True
https://immigratetobrazil.com/brazil/cities/cuiaba/,https://immigratetobrazil.com/start-consultation/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/about/lawyer/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/brazil/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/brazil/cities/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/brazil/cities/curitiba/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/brazil/cities/florianopolis/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/brazil/cities/gramado/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/brazil/cities/porto-alegre/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/process/planning/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/services/advisory/corporate/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/services/residencies/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/services/residencies/nomad/,True
https://immigratetobrazil.com/brazil/cities/curitiba/,https://immigratetobrazil.com/start-consultation/,True
https://immigratetobrazil.com/brazil/cities/florianopolis/,https://immigratetobrazil.com/,True
https://immigratetobrazil.com/brazil/cities/florianopolis/,https://immigratetobrazil.com/about/lawyer/,True
